ALL,MALE,FEMALE
"(('I', 'PRP'), 3829)","(('I', 'PRP'), 2281)","(('I', 'PRP'), 1548)"
"(('my', 'PRP$'), 1529)","(('my', 'PRP$'), 789)","(('my', 'PRP$'), 740)"
"(('me', 'PRP'), 772)","(('was', 'VBD'), 607)","(('is', 'VBZ'), 373)"
"(('was', 'VBD'), 735)","(('it', 'PRP'), 427)","(('me', 'PRP'), 360)"
"(('it', 'PRP'), 617)","(('me', 'PRP'), 412)","(('am', 'VBP'), 309)"
"(('is', 'VBZ'), 596)","((""n't"", 'RB'), 246)","(('not', 'RB'), 221)"
"(('am', 'VBP'), 356)","(('had', 'VBD'), 227)","(('have', 'VBP'), 211)"
"(('not', 'RB'), 317)","(('is', 'VBZ'), 223)","(('it', 'PRP'), 190)"
"(('have', 'VBP'), 312)","((""'d"", 'MD'), 187)","(('recovery', 'NN'), 175)"
"(('myself', 'PRP'), 311)","(('myself', 'PRP'), 186)","(('can', 'MD'), 150)"
"(('life', 'NN'), 300)","(('life', 'NN'), 182)","(('are', 'VBP'), 149)"
"(('can', 'MD'), 264)","(('be', 'VB'), 145)","(('was', 'VBD'), 128)"
"(('had', 'VBD'), 261)","(('could', 'MD'), 144)","(('myself', 'PRP'), 125)"
"(('be', 'VB'), 258)","(('did', 'VBD'), 137)","(('life', 'NN'), 118)"
"((""n't"", 'RB'), 246)","(('addiction', 'NN'), 132)","(('that', 'WDT'), 118)"
"(('that', 'WDT'), 235)","(('drugs', 'NNS'), 126)","(('be', 'VB'), 113)"
"(('are', 'VBP'), 215)","(('that', 'WDT'), 117)","(('will', 'MD'), 112)"
"(('when', 'WRB'), 204)","(('can', 'MD'), 114)","(('when', 'WRB'), 101)"
"(('addiction', 'NN'), 195)","(('were', 'VBD'), 113)","(('them', 'PRP'), 99)"
"(('them', 'PRP'), 192)","(('It', 'PRP'), 108)","(('they', 'PRP'), 73)"
"((""'d"", 'MD'), 187)","(('would', 'MD'), 107)","(('When', 'WRB'), 72)"
"(('recovery', 'NN'), 179)","(('they', 'PRP'), 104)","(('people', 'NNS'), 70)"
"(('they', 'PRP'), 177)","(('when', 'WRB'), 103)","(('things', 'NNS'), 69)"
"(('It', 'PRP'), 173)","(('have', 'VBP'), 101)","(('what', 'WP'), 68)"
"(('could', 'MD'), 171)","(('just', 'RB'), 98)","(('It', 'PRP'), 65)"
"(('would', 'MD'), 154)","(('not', 'RB'), 96)","(('addiction', 'NN'), 63)"
"(('drugs', 'NNS'), 153)","(('friends', 'NNS'), 94)","(('do', 'VBP'), 63)"
"(('did', 'VBD'), 152)","(('them', 'PRP'), 93)","(('don¡¯t', 'VBP'), 61)"
"(('what', 'WP'), 152)","((""'m"", 'VBP'), 85)","(('get', 'VB'), 61)"
"(('things', 'NNS'), 152)","(('what', 'WP'), 84)","(('one', 'CD'), 58)"
